
KMD VirtualArray (VA) Functions (Testdriver), Version 0.1.0
MOD[va.c] VER[0.1.0 Pre] DAT[92/07/10] DEV[ad dec]
Copyright (c) KommuneData I/S 1992

Creating VA-file[./VA/va.key] :
Opening VA-file[va.key], mode[RO] :
	Read  VA-header: dwArSize[9999], dwArUsed[5003], wArElSize[8], cFill[ ]

Index Keyrecords:	Size=[9999],	Used=[5003]

Index Loadfactor:	Load=[50]

Accessing 10000 elements...
	NOTFOUND  :	Array[ 129] = 18446744073709551615
	ACCESSING :	Array[ 130] =  130
	NOTFOUND  :	Array[ 131] = 18446744073709551615
	ACCESSING :	Array[ 132] =  132
	NOTFOUND  :	Array[ 133] = 18446744073709551615
	ACCESSING :	Array[ 134] =  134
	NOTFOUND  :	Array[ 135] = 18446744073709551615
	ACCESSING :	Array[ 136] =  136
	NOTFOUND  :	Array[ 137] = 18446744073709551615
	ACCESSING :	Array[ 138] =  138
	NOTFOUND  :	Array[ 139] = 18446744073709551615
	ACCESSING :	Array[ 140] =  140
	NOTFOUND  :	Array[ 141] = 18446744073709551615
	ACCESSING :	Array[ 142] =  142
	NOTFOUND  :	Array[ 143] = 18446744073709551615
	ACCESSING :	Array[ 144] =  144
	NOTFOUND  :	Array[ 145] = 18446744073709551615
	ACCESSING :	Array[ 146] =  146
	NOTFOUND  :	Array[ 147] = 18446744073709551615
	ACCESSING :	Array[ 148] =  148
	NOTFOUND  :	Array[ 149] = 18446744073709551615
	ACCESSING :	Array[ 150] =  150
	NOTFOUND  :	Array[ 151] = 18446744073709551615
	ACCESSING :	Array[ 152] =  152
	NOTFOUND  :	Array[ 153] = 18446744073709551615
	ACCESSING :	Array[ 154] =  154
	NOTFOUND  :	Array[ 155] = 18446744073709551615
	ACCESSING :	Array[ 156] =  156
	NOTFOUND  :	Array[ 157] = 18446744073709551615
	ACCESSING :	Array[ 158] =  158
	NOTFOUND  :	Array[ 159] = 18446744073709551615
	ACCESSING :	Array[ 160] =  160
	NOTFOUND  :	Array[ 161] = 18446744073709551615
	ACCESSING :	Array[ 162] =  162
	NOTFOUND  :	Array[ 163] = 18446744073709551615
	ACCESSING :	Array[ 164] =  164
	NOTFOUND  :	Array[ 165] = 18446744073709551615
	ACCESSING :	Array[ 166] =  166
	NOTFOUND  :	Array[ 167] = 18446744073709551615
	ACCESSING :	Array[ 168] =  168
	NOTFOUND  :	Array[ 169] = 18446744073709551615
	ACCESSING :	Array[ 170] =  170
	NOTFOUND  :	Array[ 171] = 18446744073709551615
	ACCESSING :	Array[ 172] =  172
	NOTFOUND  :	Array[ 173] = 18446744073709551615
	ACCESSING :	Array[ 174] =  174
	NOTFOUND  :	Array[ 175] = 18446744073709551615
	ACCESSING :	Array[ 176] =  176
	NOTFOUND  :	Array[ 177] = 18446744073709551615
	ACCESSING :	Array[ 178] =  178
	NOTFOUND  :	Array[ 179] = 18446744073709551615
	ACCESSING :	Array[ 180] =  180
	NOTFOUND  :	Array[ 181] = 18446744073709551615
	ACCESSING :	Array[ 182] =  182
	NOTFOUND  :	Array[ 183] = 18446744073709551615
	ACCESSING :	Array[ 184] =  184
	NOTFOUND  :	Array[ 185] = 18446744073709551615
	ACCESSING :	Array[ 186] =  186
	NOTFOUND  :	Array[ 187] = 18446744073709551615
	ACCESSING :	Array[ 188] =  188
	NOTFOUND  :	Array[ 189] = 18446744073709551615
	ACCESSING :	Array[ 190] =  190
	NOTFOUND  :	Array[ 191] = 18446744073709551615
	ACCESSING :	Array[ 192] =  192
	NOTFOUND  :	Array[ 193] = 18446744073709551615
	ACCESSING :	Array[ 194] =  194
	NOTFOUND  :	Array[ 195] = 18446744073709551615
	ACCESSING :	Array[ 196] =  196
	NOTFOUND  :	Array[ 197] = 18446744073709551615
	ACCESSING :	Array[ 198] =  198
	NOTFOUND  :	Array[ 199] = 18446744073709551615
	ACCESSING :	Array[ 200] =  200
	NOTFOUND  :	Array[ 201] = 18446744073709551615
	ACCESSING :	Array[ 202] =  202
	NOTFOUND  :	Array[ 203] = 18446744073709551615
	ACCESSING :	Array[ 204] =  204
	NOTFOUND  :	Array[ 205] = 18446744073709551615
	ACCESSING :	Array[ 206] =  206
	NOTFOUND  :	Array[ 207] = 18446744073709551615
	ACCESSING :	Array[ 208] =  208
	NOTFOUND  :	Array[ 209] = 18446744073709551615
	ACCESSING :	Array[ 210] =  210
	NOTFOUND  :	Array[ 211] = 18446744073709551615
	ACCESSING :	Array[ 212] =  212
	NOTFOUND  :	Array[ 213] = 18446744073709551615
	ACCESSING :	Array[ 214] =  214
	NOTFOUND  :	Array[ 215] = 18446744073709551615
	ACCESSING :	Array[ 216] =  216
	NOTFOUND  :	Array[ 217] = 18446744073709551615
	ACCESSING :	Array[ 218] =  218
	NOTFOUND  :	Array[ 219] = 18446744073709551615
	ACCESSING :	Array[ 220] =  220
	NOTFOUND  :	Array[ 221] = 18446744073709551615
	ACCESSING :	Array[ 222] =  222
	NOTFOUND  :	Array[ 223] = 18446744073709551615
	ACCESSING :	Array[ 224] =  224
	NOTFOUND  :	Array[ 225] = 18446744073709551615
	ACCESSING :	Array[ 226] =  226
	NOTFOUND  :	Array[ 227] = 18446744073709551615
	ACCESSING :	Array[ 228] =  228
	NOTFOUND  :	Array[ 229] = 18446744073709551615
	ACCESSING :	Array[ 230] =  230
	NOTFOUND  :	Array[ 231] = 18446744073709551615
	ACCESSING :	Array[ 232] =  232
	NOTFOUND  :	Array[ 233] = 18446744073709551615
	ACCESSING :	Array[ 234] =  234
	NOTFOUND  :	Array[ 235] = 18446744073709551615
	ACCESSING :	Array[ 236] =  236
	NOTFOUND  :	Array[ 237] = 18446744073709551615
	ACCESSING :	Array[ 238] =  238
	NOTFOUND  :	Array[ 239] = 18446744073709551615
	ACCESSING :	Array[ 240] =  240
	NOTFOUND  :	Array[ 241] = 18446744073709551615
	ACCESSING :	Array[ 242] =  242
	NOTFOUND  :	Array[ 243] = 18446744073709551615
	ACCESSING :	Array[ 244] =  244
	NOTFOUND  :	Array[ 245] = 18446744073709551615
	ACCESSING :	Array[ 246] =  246
	NOTFOUND  :	Array[ 247] = 18446744073709551615
	ACCESSING :	Array[ 248] =  248
	NOTFOUND  :	Array[ 249] = 18446744073709551615
	ACCESSING :	Array[ 250] =  250
	NOTFOUND  :	Array[ 251] = 18446744073709551615
	ACCESSING :	Array[ 252] =  252
	NOTFOUND  :	Array[ 253] = 18446744073709551615
	ACCESSING :	Array[ 254] =  254
	NOTFOUND  :	Array[ 255] = 18446744073709551615
	ACCESSING :	Array[ 256] =  256
	NOTFOUND  :	Array[ 257] = 18446744073709551615
	ACCESSING :	Array[ 258] =  258
	NOTFOUND  :	Array[ 259] = 18446744073709551615
	ACCESSING :	Array[ 260] =  260
	NOTFOUND  :	Array[ 261] = 18446744073709551615
	ACCESSING :	Array[ 262] =  262
	NOTFOUND  :	Array[ 263] = 18446744073709551615
	ACCESSING :	Array[ 264] =  264
	NOTFOUND  :	Array[ 265] = 18446744073709551615
	ACCESSING :	Array[ 266] =  266
	NOTFOUND  :	Array[ 267] = 18446744073709551615
	ACCESSING :	Array[ 268] =  268
	NOTFOUND  :	Array[ 269] = 18446744073709551615
	ACCESSING :	Array[ 270] =  270
	NOTFOUND  :	Array[ 271] = 18446744073709551615
	ACCESSING :	Array[ 272] =  272
	NOTFOUND  :	Array[ 273] = 18446744073709551615
	ACCESSING :	Array[ 274] =  274
	NOTFOUND  :	Array[ 275] = 18446744073709551615
	ACCESSING :	Array[ 276] =  276
	NOTFOUND  :	Array[ 277] = 18446744073709551615
	ACCESSING :	Array[ 278] =  278
	NOTFOUND  :	Array[ 279] = 18446744073709551615
	ACCESSING :	Array[ 280] =  280
	NOTFOUND  :	Array[ 281] = 18446744073709551615
	ACCESSING :	Array[ 282] =  282
	NOTFOUND  :	Array[ 283] = 18446744073709551615
	ACCESSING :	Array[ 284] =  284
	NOTFOUND  :	Array[ 285] = 18446744073709551615
	ACCESSING :	Array[ 286] =  286
	NOTFOUND  :	Array[ 287] = 18446744073709551615
	ACCESSING :	Array[ 288] =  288
	NOTFOUND  :	Array[ 289] = 18446744073709551615
	ACCESSING :	Array[ 290] =  290
	NOTFOUND  :	Array[ 291] = 18446744073709551615
	ACCESSING :	Array[ 292] =  292
	NOTFOUND  :	Array[ 293] = 18446744073709551615
	ACCESSING :	Array[ 294] =  294
	NOTFOUND  :	Array[ 295] = 18446744073709551615
	ACCESSING :	Array[ 296] =  296
	NOTFOUND  :	Array[ 297] = 18446744073709551615
	ACCESSING :	Array[ 298] =  298
	NOTFOUND  :	Array[ 299] = 18446744073709551615
	ACCESSING :	Array[ 300] =  300
	NOTFOUND  :	Array[ 301] = 18446744073709551615
	ACCESSING :	Array[ 302] =  302
	NOTFOUND  :	Array[ 303] = 18446744073709551615
	ACCESSING :	Array[ 304] =  304
	NOTFOUND  :	Array[ 305] = 18446744073709551615
	ACCESSING :	Array[ 306] =  306
	NOTFOUND  :	Array[ 307] = 18446744073709551615
	ACCESSING :	Array[ 308] =  308
	NOTFOUND  :	Array[ 309] = 18446744073709551615
	ACCESSING :	Array[ 310] =  310
	NOTFOUND  :	Array[ 311] = 18446744073709551615
	ACCESSING :	Array[ 312] =  312
	NOTFOUND  :	Array[ 313] = 18446744073709551615
	ACCESSING :	Array[ 314] =  314
	NOTFOUND  :	Array[ 315] = 18446744073709551615
	ACCESSING :	Array[ 316] =  316
	NOTFOUND  :	Array[ 317] = 18446744073709551615
	ACCESSING :	Array[ 318] =  318
	NOTFOUND  :	Array[ 319] = 18446744073709551615
	ACCESSING :	Array[ 320] =  320
	NOTFOUND  :	Array[ 321] = 18446744073709551615
	ACCESSING :	Array[ 322] =  322
	NOTFOUND  :	Array[ 323] = 18446744073709551615
	ACCESSING :	Array[ 324] =  324
	NOTFOUND  :	Array[ 325] = 18446744073709551615
	ACCESSING :	Array[ 326] =  326
	NOTFOUND  :	Array[ 327] = 18446744073709551615
	ACCESSING :	Array[ 328] =  328
	NOTFOUND  :	Array[ 329] = 18446744073709551615
	ACCESSING :	Array[ 330] =  330
	NOTFOUND  :	Array[ 331] = 18446744073709551615
	ACCESSING :	Array[ 332] =  332
	NOTFOUND  :	Array[ 333] = 18446744073709551615
	ACCESSING :	Array[ 334] =  334
	NOTFOUND  :	Array[ 335] = 18446744073709551615
	ACCESSING :	Array[ 336] =  336
	NOTFOUND  :	Array[ 337] = 18446744073709551615
	ACCESSING :	Array[ 338] =  338
	NOTFOUND  :	Array[ 339] = 18446744073709551615
	ACCESSING :	Array[ 340] =  340
	NOTFOUND  :	Array[ 341] = 18446744073709551615
	ACCESSING :	Array[ 342] =  342
	NOTFOUND  :	Array[ 343] = 18446744073709551615
	ACCESSING :	Array[ 344] =  344
	NOTFOUND  :	Array[ 345] = 18446744073709551615
	ACCESSING :	Array[ 346] =  346
	NOTFOUND  :	Array[ 347] = 18446744073709551615
	ACCESSING :	Array[ 348] =  348
	NOTFOUND  :	Array[ 349] = 18446744073709551615
	ACCESSING :	Array[ 350] =  350
	NOTFOUND  :	Array[ 351] = 18446744073709551615
	ACCESSING :	Array[ 352] =  352
	NOTFOUND  :	Array[ 353] = 18446744073709551615
	ACCESSING :	Array[ 354] =  354
	NOTFOUND  :	Array[ 355] = 18446744073709551615
	ACCESSING :	Array[ 356] =  356
	NOTFOUND  :	Array[ 357] = 18446744073709551615
	ACCESSING :	Array[ 358] =  358
	NOTFOUND  :	Array[ 359] = 18446744073709551615
	ACCESSING :	Array[ 360] =  360
	NOTFOUND  :	Array[ 361] = 18446744073709551615
	ACCESSING :	Array[ 362] =  362
	NOTFOUND  :	Array[ 363] = 18446744073709551615
	ACCESSING :	Array[ 364] =  364
	NOTFOUND  :	Array[ 365] = 18446744073709551615
	ACCESSING :	Array[ 366] =  366
	NOTFOUND  :	Array[ 367] = 18446744073709551615
	ACCESSING :	Array[ 368] =  368
	NOTFOUND  :	Array[ 369] = 18446744073709551615
	ACCESSING :	Array[ 370] =  370
	NOTFOUND  :	Array[ 371] = 18446744073709551615
	ACCESSING :	Array[ 372] =  372
	NOTFOUND  :	Array[ 373] = 18446744073709551615
	ACCESSING :	Array[ 374] =  374
	NOTFOUND  :	Array[ 375] = 18446744073709551615
	ACCESSING :	Array[ 376] =  376
	NOTFOUND  :	Array[ 377] = 18446744073709551615
	ACCESSING :	Array[ 378] =  378
	NOTFOUND  :	Array[ 379] = 18446744073709551615
	ACCESSING :	Array[ 380] =  380
	NOTFOUND  :	Array[ 381] = 18446744073709551615
	ACCESSING :	Array[ 382] =  382
	NOTFOUND  :	Array[ 383] = 18446744073709551615
	ACCESSING :	Array[ 384] =  384
	NOTFOUND  :	Array[ 385] = 18446744073709551615
	ACCESSING :	Array[ 386] =  386
	NOTFOUND  :	Array[ 387] = 18446744073709551615
	ACCESSING :	Array[ 388] =  388
	NOTFOUND  :	Array[ 389] = 18446744073709551615
	ACCESSING :	Array[ 390] =  390
	NOTFOUND  :	Array[ 391] = 18446744073709551615
	ACCESSING :	Array[ 392] =  392
	NOTFOUND  :	Array[ 393] = 18446744073709551615
	ACCESSING :	Array[ 394] =  394
	NOTFOUND  :	Array[ 395] = 18446744073709551615
	ACCESSING :	Array[ 396] =  396
	NOTFOUND  :	Array[ 397] = 18446744073709551615
	ACCESSING :	Array[ 398] =  398
	NOTFOUND  :	Array[ 399] = 18446744073709551615
	ACCESSING :	Array[ 400] =  400
	NOTFOUND  :	Array[ 401] = 18446744073709551615
	ACCESSING :	Array[ 402] =  402
	NOTFOUND  :	Array[ 403] = 18446744073709551615
	ACCESSING :	Array[ 404] =  404
	NOTFOUND  :	Array[ 405] = 18446744073709551615
	ACCESSING :	Array[ 406] =  406
	NOTFOUND  :	Array[ 407] = 18446744073709551615
	ACCESSING :	Array[ 408] =  408
	NOTFOUND  :	Array[ 409] = 18446744073709551615
	ACCESSING :	Array[ 410] =  410
	NOTFOUND  :	Array[ 411] = 18446744073709551615
	ACCESSING :	Array[ 412] =  412
	NOTFOUND  :	Array[ 413] = 18446744073709551615
	ACCESSING :	Array[ 414] =  414
	NOTFOUND  :	Array[ 415] = 18446744073709551615
	ACCESSING :	Array[ 416] =  416
	NOTFOUND  :	Array[ 417] = 18446744073709551615
	ACCESSING :	Array[ 418] =  418
	NOTFOUND  :	Array[ 419] = 18446744073709551615
	ACCESSING :	Array[ 420] =  420
	NOTFOUND  :	Array[ 421] = 18446744073709551615
	ACCESSING :	Array[ 422] =  422
	NOTFOUND  :	Array[ 423] = 18446744073709551615
	ACCESSING :	Array[ 424] =  424
	NOTFOUND  :	Array[ 425] = 18446744073709551615
	ACCESSING :	Array[ 426] =  426
	NOTFOUND  :	Array[ 427] = 18446744073709551615
	ACCESSING :	Array[ 428] =  428
	NOTFOUND  :	Array[ 429] = 18446744073709551615
	ACCESSING :	Array[ 430] =  430
	NOTFOUND  :	Array[ 431] = 18446744073709551615
	ACCESSING :	Array[ 432] =  432
	NOTFOUND  :	Array[ 433] = 18446744073709551615
	ACCESSING :	Array[ 434] =  434
	NOTFOUND  :	Array[ 435] = 18446744073709551615
	ACCESSING :	Array[ 436] =  436
	NOTFOUND  :	Array[ 437] = 18446744073709551615
	ACCESSING :	Array[ 438] =  438
	NOTFOUND  :	Array[ 439] = 18446744073709551615
	ACCESSING :	Array[ 440] =  440
	NOTFOUND  :	Array[ 441] = 18446744073709551615
	ACCESSING :	Array[ 442] =  442
	NOTFOUND  :	Array[ 443] = 18446744073709551615
	ACCESSING :	Array[ 444] =  444
	NOTFOUND  :	Array[ 445] = 18446744073709551615
	ACCESSING :	Array[ 446] =  446
	NOTFOUND  :	Array[ 447] = 18446744073709551615
	ACCESSING :	Array[ 448] =  448
	NOTFOUND  :	Array[ 449] = 18446744073709551615
	ACCESSING :	Array[ 450] =  450
	NOTFOUND  :	Array[ 451] = 18446744073709551615
	ACCESSING :	Array[ 452] =  452
	NOTFOUND  :	Array[ 453] = 18446744073709551615
	ACCESSING :	Array[ 454] =  454
	NOTFOUND  :	Array[ 455] = 18446744073709551615
	ACCESSING :	Array[ 456] =  456
	NOTFOUND  :	Array[ 457] = 18446744073709551615
	ACCESSING :	Array[ 458] =  458
	NOTFOUND  :	Array[ 459] = 18446744073709551615
	ACCESSING :	Array[ 460] =  460
	NOTFOUND  :	Array[ 461] = 18446744073709551615
	ACCESSING :	Array[ 462] =  462
	NOTFOUND  :	Array[ 463] = 18446744073709551615
	ACCESSING :	Array[ 464] =  464
	NOTFOUND  :	Array[ 465] = 18446744073709551615
	ACCESSING :	Array[ 466] =  466
	NOTFOUND  :	Array[ 467] = 18446744073709551615
	ACCESSING :	Array[ 468] =  468
	NOTFOUND  :	Array[ 469] = 18446744073709551615
	ACCESSING :	Array[ 470] =  470
	NOTFOUND  :	Array[ 471] = 18446744073709551615
	ACCESSING :	Array[ 472] =  472
	NOTFOUND  :	Array[ 473] = 18446744073709551615
	ACCESSING :	Array[ 474] =  474
	NOTFOUND  :	Array[ 475] = 18446744073709551615
	ACCESSING :	Array[ 476] =  476
	NOTFOUND  :	Array[ 477] = 18446744073709551615
	ACCESSING :	Array[ 478] =  478
	NOTFOUND  :	Array[ 479] = 18446744073709551615
	ACCESSING :	Array[ 480] =  480
	NOTFOUND  :	Array[ 481] = 18446744073709551615
	ACCESSING :	Array[ 482] =  482
	NOTFOUND  :	Array[ 483] = 18446744073709551615
	ACCESSING :	Array[ 484] =  484
	NOTFOUND  :	Array[ 485] = 18446744073709551615
	ACCESSING :	Array[ 486] =  486
	NOTFOUND  :	Array[ 487] = 18446744073709551615
	ACCESSING :	Array[ 488] =  488
	NOTFOUND  :	Array[ 489] = 18446744073709551615
	ACCESSING :	Array[ 490] =  490
	NOTFOUND  :	Array[ 491] = 18446744073709551615
	ACCESSING :	Array[ 492] =  492
	NOTFOUND  :	Array[ 493] = 18446744073709551615
	ACCESSING :	Array[ 494] =  494
	NOTFOUND  :	Array[ 495] = 18446744073709551615
	ACCESSING :	Array[ 496] =  496
	NOTFOUND  :	Array[ 497] = 18446744073709551615
	ACCESSING :	Array[ 498] =  498
	NOTFOUND  :	Array[ 499] = 18446744073709551615
	ACCESSING :	Array[ 500] =  500
	NOTFOUND  :	Array[ 501] = 18446744073709551615
	ACCESSING :	Array[ 502] =  502
	NOTFOUND  :	Array[ 503] = 18446744073709551615
	ACCESSING :	Array[ 504] =  504
	NOTFOUND  :	Array[ 505] = 18446744073709551615
	ACCESSING :	Array[ 506] =  506
	NOTFOUND  :	Array[ 507] = 18446744073709551615
	ACCESSING :	Array[ 508] =  508
